Lot,Vitrox ID,Recipe,Start Time,End Time,Yield,Total Inspected,Total Reject
4958154.1DEP5,,SKY55446+REV,2024/10/02 17:58:52,2024/10/02 20:22:32,,,
4958154.1DEP5,6VTRX07,SKY55446+REV1,2024/10/02 17:58:52,2024/10/02 20:22:32,100.000%,7755,0
4958154.1DEP54957915.1,,SKY55446+REV,2024/10/02 22:10:39,2024/10/03 02:02:00,,,
4958154.1DEP54957915.1,,SKY55446+REV,2024/10/02 22:10:39,2024/10/03 02:02:00,,,
122,6VTRX07,SKY55446+REV1,2024/10/02 22:10:39,2024/10/03 02:02:00,95.584%,14449,638
4958156.1 DETAPE,,SKY55446+REV,2024/10/19 14:04:23,2024/10/19 15:11:11,,,
4958156.1 DETAPE,,SKY55446+REV,2024/10/19 14:04:23,2024/10/19 15:11:11,,,
4958156.1 DETAPE,6VTRX07,SKY55446+REV3,2024/10/19 14:04:23,2024/10/19 15:11:11,100.000%,7060,0
4958156.1,,SKY55446+REV,2024/10/19 09:24:18,2024/10/19 13:58:54,,,
4958156.1,,SKY55446+REV,2024/10/19 09:24:18,2024/10/19 13:58:54,,,
707,6VTRX07,SKY55446+REV3,2024/10/19 09:24:18,2024/10/19 13:58:54,95.211%,9522,456
4958156.1D,,SKY55446+REV,2024/10/20 05:36:52,2024/10/20 06:43:35,,,
4958156.1D,6VTRX07,SKY55446+REV3,2024/10/20 05:36:52,2024/10/20 06:43:35,0.000%,0,0
4958156.1D,,SKY55446+REV,2024/10/20 05:36:52,2024/10/20 09:46:04,,,
4958156.1D,6VTRX07,SKY55446+REV3,2024/10/20 05:36:52,2024/10/20 09:46:04,100.000%,4938,0
4958156.1D,,SKY55446+REV,2024/10/20 05:36:52,2024/10/20 06:16:43,,,
4958156.1D,6VTRX07,SKY55446+REV3,2024/10/20 05:36:52,2024/10/20 06:16:43,100.000%,640,0
4958156.2,,SKY55446+REV,2024/10/19 17:34:01,2024/10/19 18:50:54,,,
4958156.2,,SKY55446+REV,2024/10/19 17:34:01,2024/10/19 18:50:54,,,
6,6VTRX07,SKY55446+REV3,2024/10/19 17:34:01,2024/10/19 18:50:54,94.936%,1323,67
4958156.3,,SKY55446+REV,2024/10/19 19:24:45,2024/10/20 03:31:43,,,
4958156.3,,SKY55446+REV,2024/10/19 19:24:45,2024/10/20 03:31:43,,,
,6VTRX07,SKY55446+REV3,2024/10/19 19:24:45,2024/10/20 03:31:43,94.815%,7638,396
4958960.1,,SKY55446+REV,2024/10/13 03:49:59,2024/10/17 08:55:20,,,
,6VTRX07,SKY55446+REV3,2024/10/13 03:49:59,2024/10/17 08:55:20,0.000%,0,0
4958960.1-DETAPE,,SKY55446+REV,2024/10/17 10:26:37,2024/10/17 14:21:57,,,
4958960.1-DETAPE,,SKY55446+REV,2024/10/17 10:26:37,2024/10/17 14:21:57,,,
4958960.1-DETAPE,6VTRX07,SKY55446+REV3,2024/10/17 10:26:37,2024/10/17 14:21:57,0.000%,0,0
4958960.1-DETAPE,,SKY55446+REV,2024/10/17 10:26:37,2024/10/17 13:00:29,,,
4958960.1-DETAPE,,SKY55446+REV,2024/10/17 10:26:37,2024/10/17 13:00:29,,,
4958960.1-DETAPE,6VTRX07,SKY55446+REV3,2024/10/17 10:26:37,2024/10/17 13:00:29,100.000%,7473,0
4958960.2,,SKY55446+REV,2024/10/13 05:23:10,2024/10/13 12:21:41,,,
4958960.2,,SKY55446+REV,2024/10/13 05:23:10,2024/10/13 12:21:41,,,
,6VTRX07,SKY55446+REV3,2024/10/13 05:23:10,2024/10/13 12:21:41,100.000%,11524,0
4958960.2,,SKY55446+REV,2024/10/13 05:23:10,2024/10/13 14:01:44,,,
4958960.2,,SKY55446+REV,2024/10/13 05:23:10,2024/10/13 14:01:44,,,
3,6VTRX07,SKY55446+REV3,2024/10/13 05:23:10,2024/10/13 14:01:44,99.838%,12379,20
4958960.2,,SKY55446+REV,2024/10/13 05:23:10,2024/10/13 09:38:44,,,
4958960.2,,SKY55446+REV,2024/10/13 05:23:10,2024/10/13 09:38:44,,,
195,6VTRX07,SKY55446+REV3,2024/10/13 05:23:10,2024/10/13 09:38:44,96.102%,14906,581
4958960.2DETAPE,,SKY55446+REV,2024/10/13 09:47:49,2024/10/13 11:48:47,,,
4958960.2DETAPE,6VTRX07,SKY55446+REV3,2024/10/13 09:47:49,2024/10/13 11:48:47,100.000%,186,0
4958960.2DETAPE,,SKY55446+REV,2024/10/13 09:47:49,2024/10/13 10:26:31,,,
4958960.2DETAPE,6VTRX07,SKY55446+REV3,2024/10/13 09:47:49,2024/10/13 10:26:31,100.000%,149,0
4958960.3,,SKY55446+REV,2024/10/17 20:30:53,2024/10/18 11:26:22,,,
4958960.3,,SKY55446+REV,2024/10/17 20:30:53,2024/10/18 11:26:22,,,
912,6VTRX07,SKY55446+REV3,2024/10/17 20:30:53,2024/10/18 11:26:22,96.976%,21266,643
4958960.3,,SKY55446+REV,2024/10/17 20:30:53,2024/10/18 12:59:16,,,
4958960.3,,SKY55446+REV,2024/10/17 20:30:53,2024/10/18 12:59:16,,,
,6VTRX07,SKY55446+REV3,2024/10/17 20:30:53,2024/10/18 12:59:16,99.196%,21265,171
4958960.3,,SKY55446+REV,2024/10/17 20:30:53,2024/10/18 08:59:47,,,
4958960.3,,SKY55446+REV,2024/10/17 20:30:53,2024/10/18 08:59:47,,,
692,6VTRX07,SKY55446+REV3,2024/10/17 20:30:53,2024/10/18 08:59:47,87.292%,21121,2684
4958962.1,,SKY55446+REV,2024/10/11 08:52:33,2024/10/11 14:56:11,,,
4958962.1,,SKY55446+REV,2024/10/11 08:52:33,2024/10/11 14:56:11,,,
,6VTRX07,SKY55446+REV3,2024/10/11 08:52:33,2024/10/11 14:56:11,99.047%,21519,205
4958962.1,,SKY55446+REV,2024/10/11 08:52:33,2024/10/11 14:18:36,,,
4958962.1,,SKY55446+REV,2024/10/11 08:52:33,2024/10/11 14:18:36,,,
896,6VTRX07,SKY55446+REV3,2024/10/11 08:52:33,2024/10/11 14:18:36,96.396%,21228,765
4958964.1,,SKY55446+REV,2024/10/12 06:15:26,2024/10/12 15:18:29,,,
4958964.1,,SKY55446+REV,2024/10/12 06:15:26,2024/10/12 15:18:29,,,
,6VTRX07,SKY55446+REV3,2024/10/12 06:15:26,2024/10/12 15:18:29,99.490%,21768,111
4958964.1,,SKY55446+REV,2024/10/12 06:15:26,2024/10/12 13:15:42,,,
4958964.1,,SKY55446+REV,2024/10/12 06:15:26,2024/10/12 13:15:42,,,
925,6VTRX07,SKY55446+REV3,2024/10/12 06:15:26,2024/10/12 13:15:42,95.240%,21787,1037
4958965.1,,SKY55446+REV,2024/10/23 17:29:52,2024/10/24 01:08:31,,,
4958965.1,,SKY55446+REV,2024/10/23 17:29:52,2024/10/24 01:08:31,,,
885,6VTRX07,SKY55446+REV3,2024/10/23 17:29:52,2024/10/24 01:08:31,85.439%,11091,1615
4958965.1D,,SKY55446+REV,2024/10/24 01:19:19,2024/10/24 01:25:11,,,
4958965.1D,6VTRX07,SKY55446+REV3,2024/10/24 01:19:19,2024/10/24 01:25:11,0.000%,0,0
4958965.2,,SKY55446+REV,2024/10/24 08:52:39,2024/10/24 20:34:37,,,
4958965.2,,SKY55446+REV,2024/10/24 08:52:39,2024/10/24 20:34:37,,,
926,6VTRX07,SKY55446+REV3,2024/10/24 08:52:39,2024/10/24 20:34:37,97.142%,21375,611
4958965.2,,SKY55446+REV,2024/10/24 08:52:39,2024/10/24 21:38:55,,,
4958965.2,,SKY55446+REV,2024/10/24 08:52:39,2024/10/24 21:38:55,,,
966,6VTRX07,SKY55446+REV3,2024/10/24 08:52:39,2024/10/24 21:38:55,98.930%,21395,229
4958965.2,,SKY55446+REV,2024/10/24 08:52:39,2024/10/24 22:53:27,,,
4958965.2,,SKY55446+REV,2024/10/24 08:52:39,2024/10/24 22:53:27,,,
,6VTRX07,SKY55446+REV3,2024/10/24 08:52:39,2024/10/24 22:53:27,99.163%,21395,179
4958965.2,,SKY55446+REV,2024/10/24 08:52:39,2024/10/24 17:06:19,,,
4958965.2,,SKY55446+REV,2024/10/24 08:52:39,2024/10/24 17:06:19,,,
531,6VTRX07,SKY55446+REV3,2024/10/24 08:52:39,2024/10/24 17:06:19,81.871%,20547,3725
4958965.2D,,SKY55446+REV,2024/10/24 01:26:53,2024/10/24 01:32:58,,,
4958965.2D,6VTRX07,SKY55446+REV3,2024/10/24 01:26:53,2024/10/24 01:32:58,0.000%,0,0
4958965.3D,,SKY55446+REV,2024/10/24 01:36:39,2024/10/24 01:38:54,,,
4958965.3D,6VTRX07,SKY55446+REV3,2024/10/24 01:36:39,2024/10/24 01:38:54,0.000%,0,0
4958965.D,,SKY55446+REV,2024/10/24 01:59:57,2024/10/24 02:03:22,,,
4958965.D,6VTRX07,SKY55446+REV3,2024/10/24 01:59:57,2024/10/24 02:03:22,0.000%,0,0
4958966.1,,SKY55446+REV,2024/10/10 13:47:46,2024/10/11 07:23:32,,,
4958966.1,,SKY55446+REV,2024/10/10 13:47:46,2024/10/11 07:23:32,,,
931,6VTRX07,SKY55446+REV2,2024/10/10 13:47:46,2024/10/11 07:23:32,98.258%,21185,369
4958966.1,,SKY55446+REV,2024/10/10 13:47:46,2024/10/11 08:03:23,,,
4958966.1,,SKY55446+REV,2024/10/10 13:47:46,2024/10/11 08:03:23,,,
,6VTRX07,SKY55446+REV2,2024/10/10 13:47:46,2024/10/11 08:03:23,99.347%,21294,139
4958966.1,,SKY55446+REV,2024/10/10 13:47:46,2024/10/10 20:26:18,,,
4958966.1,,SKY55446+REV,2024/10/10 13:47:46,2024/10/10 20:26:18,,,
,6VTRX07,SKY55446+REV2,2024/10/10 13:47:46,2024/10/10 20:26:18,92.066%,13449,1067
4959203.1,,SKY55446+REV,2024/10/20 19:41:05,2024/10/21 07:07:14,,,
