Lot,Vitrox ID,Recipe,Start Time,End Time,Yield,Total Inspected,Total Reject
4958151.2,,SKY55446+REV,10/4/2024 23:35,10/5/2024 2:06,,,
,6VTRX07,SKY55446+REV2,D                START TIME    END TIME       TOTAL,D                START TIME    END TIME       TOTAL,79.62%,1310,267
4958151.2,,SKY55446+REV,10/4/2024 23:35,10/5/2024 0:30,,,
4958151.2,,SKY55446+REV,10/4/2024 23:35,10/5/2024 0:30,,,
3,6VTRX07,SKY55446+REV2,D                START TIME    END TIME       TOTAL,D                START TIME    END TIME       TOTAL,94.96%,1368,69
4958152.1,,SKY55446+REV,10/18/2024 19:30,10/18/2024 20:28,,,
4958152.1,,SKY55446+REV,10/18/2024 19:30,10/18/2024 20:28,,,
,6VTRX07,SKY55446+REV3,D                START TIME    END TIME       TOTAL,D                START TIME    END TIME       TOTAL,95.96%,2374,96
4958152.3,,SKY55446+REV,10/18/2024 21:38,10/19/2024 8:28,,,
4958152.3,,SKY55446+REV,10/18/2024 21:38,10/19/2024 8:28,,,
,6VTRX07,SKY55446+REV3,D                START TIME    END TIME       TOTAL      REMARK,D                START TIME    END TIME       TOTAL      REMARK,98.77%,21398,263
4958152.3,,SKY55446+REV,10/18/2024 21:38,10/19/2024 7:43,,,
4958152.3,,SKY55446+REV,10/18/2024 21:38,10/19/2024 7:43,,,
871,6VTRX07,SKY55446+REV3,D                START TIME    END TIME       TOTAL      REMARK,D                START TIME    END TIME       TOTAL      REMARK,94.85%,21338,1100
4958154.1 DETAPE,,SKY55446+REV,10/3/2024 2:04,10/3/2024 2:33,,,
4958154.1 DETAPE,6VTRX07,SKY55446+REV1,D                START TIME    END TIME       TOTAL      REMARK,D                START TIME    END TIME       TOTAL      REMARK,100.00%,1178,0
4958154.1DEP,,SKY55446+REV,10/2/2024 15:27,10/2/2024 17:36,,,
4958154.1DEP,6VTRX07,SKY55446+REV1,D                START TIME    END TIME       TOTAL      REMARK,D                START TIME    END TIME       TOTAL      REMARK,100.00%,11501,0
4958154.1DEP5,,SKY55446+REV,10/2/2024 17:58,10/2/2024 20:22,,,
4958154.1DEP5,,SKY55446+REV,10/2/2024 17:58,10/2/2024 20:22,,,
4958154.1DEP5,6VTRX07,SKY55446+REV1,D                START TIME    END TIME       TOTAL      REMARK,D                START TIME    END TIME       TOTAL      REMARK,100.00%,7755,0
4958154.1DEP54957915.1,,SKY55446+REV,10/2/2024 22:10,10/3/2024 2:02,,,
4958154.1DEP54957915.1,,SKY55446+REV,10/2/2024 22:10,10/3/2024 2:02,,,
122,6VTRX07,SKY55446+REV1,D                START TIME    END TIME       TOTAL      REMARK,D                START TIME    END TIME       TOTAL      REMARK,95.58%,14449,638
4958156.1 DETAPE,,SKY55446+REV,10/19/2024 14:04,10/19/2024 15:11,,,
4958156.1 DETAPE,,SKY55446+REV,10/19/2024 14:04,10/19/2024 15:11,,,
4958156.1 DETAPE,6VTRX07,SKY55446+REV3,D                START TIME    END TIME       TOTAL      REMARK,D                START TIME    END TIME       TOTAL      REMARK,100.00%,7060,0
4958156.1,,SKY55446+REV,10/19/2024 9:24,10/19/2024 13:58,,,
4958156.1,,SKY55446+REV,10/19/2024 9:24,10/19/2024 13:58,,,
707,6VTRX07,SKY55446+REV3,D                START TIME    END TIME       TOTAL,D                START TIME    END TIME       TOTAL,95.21%,9522,456
4958156.1D,,SKY55446+REV,10/20/2024 5:36,10/20/2024 6:43,,,
4958156.1D,6VTRX07,SKY55446+REV3,10/20/2024 5:36,10/20/2024 6:43,0.00%,0,0
4958156.1D,,SKY55446+REV,10/20/2024 5:36,10/20/2024 9:46,,,
4958156.1D,6VTRX07,SKY55446+REV3,D                START TIME    END TIME       TOTAL      REMARK,D                START TIME    END TIME       TOTAL      REMARK,100.00%,4938,0
