File Name,Lot,Equip ID,Yield
4298810.1-1.txt,LOT       : 4298810.1                                START TIME : 2023/03/27 09:20:58,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 5679            Total Yield :  99.806%
4298810.1.txt,LOT       : 4298810.1                                START TIME : 2023/03/27 09:20:58,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 5551            Total Yield :  99.640%
4298811.1-1.txt,LOT       : 4298811.1                                START TIME : 2023/03/27 02:17:07,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 5615            Total Yield :  99.786%
4298811.1.txt,LOT       : 4298811.1                                START TIME : 2023/03/27 02:17:07,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 5615            Total Yield :  99.305%
4299785.1.txt,LOT       : 4299785.1                                START TIME : 2023/03/27 04:30:41,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 5272            Total Yield :  99.450%
4299786.1-1.txt,LOT       : 4299786.1                                START TIME : 2023/03/27 07:15:24,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 5873            Total Yield :  99.745%
4299786.1.txt,LOT       : 4299786.1                                START TIME : 2023/03/27 07:15:24,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 5655            Total Yield :  99.346%
4306737.1-1.txt,LOT       : 4306737.1                                START TIME : 2023/04/04 10:38:25,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 9449            Total Yield :  99.852%
4306737.1.txt,LOT       : 4306737.1                                START TIME : 2023/04/04 10:38:25,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 9449            Total Yield :  99.608%
4308837.1-1.txt,LOT       : 4308837.1                                START TIME : 2023/04/03 11:29:34,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 5543            Total Yield :  99.765%
4308837.1.txt,LOT       : 4308837.1                                START TIME : 2023/04/03 11:29:34,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 5543            Total Yield :  99.549%
4309402.1-1.txt,LOT       : 4309402.1                                START TIME : 2023/04/04 07:46:52,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 9518            Total Yield :  99.790%
4309402.1.txt,LOT       : 4309402.1                                START TIME : 2023/04/04 07:46:52,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 9518            Total Yield :  99.580%
4309404.1-1.txt,LOT       : 4309404.1                                START TIME : 2023/04/19 00:55:26,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 9377            Total Yield :  99.563%
4309404.1.txt,LOT       : 4309404.1                                START TIME : 2023/04/19 00:55:26,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 9376            Total Yield :  98.976%
4310139.1-1.txt,LOT       : 4310139.1                                START TIME : 2023/04/03 13:15:32,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 5626            Total Yield :  99.787%
4310139.1.txt,LOT       : 4310139.1                                START TIME : 2023/04/03 13:15:32,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 5625            Total Yield :  98.631%
4310141.1-1.txt,LOT       : 4310141.1                                START TIME : 2023/04/03 15:51:59,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 5560            Total Yield :  99.388%
4310141.1.txt,LOT       : 4310141.1                                START TIME : 2023/04/03 15:51:59,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 5560            Total Yield :  98.597%
4312668.1-1.txt,LOT       : 4312668.1                                START TIME : 2023/04/04 04:56:43,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 9104            Total Yield :  99.879%
4312668.1.txt,LOT       : 4312668.1                                START TIME : 2023/04/04 04:56:43,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 9104            Total Yield :  99.506%
4312910.1.txt,LOT       : 4312910.1                                START TIME : 2023/04/05 02:31:01,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 7948            Total Yield :  99.220%
4312911.1-1.txt,LOT       : 4312911.1                                START TIME : 2023/04/04 23:52:19,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 3247            Total Yield :  99.784%
4312911.1.txt,LOT       : 4312911.1                                START TIME : 2023/04/04 23:52:19,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 3249            Total Yield :  99.569%
4312912.1.txt,LOT       : 4312912.1                                START TIME : 2023/04/12 04:40:39,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 6479            Total Yield :  99.259%
4313852.1-1.txt,LOT       : 4313852.1                                START TIME : 2023/04/05 00:49:09,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 7322            Total Yield :  99.454%
4313852.1.txt,LOT       : 4313852.1                                START TIME : 2023/04/05 00:49:09,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 7322            Total Yield :  99.153%
4313853.1.txt,LOT       : 4313853.1                                START TIME : 2023/04/04 21:54:42,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 7345            Total Yield :  99.156%
4313854.1-1.txt,LOT       : 4313854.1                                START TIME : 2023/04/04 20:48:51,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 7308            Total Yield :  99.453%
4313854.1.txt,LOT       : 4313854.1                                START TIME : 2023/04/04 20:48:51,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 7308            Total Yield :  99.275%
4314292.1-1.txt,LOT       : 4314292.1                                START TIME : 2023/04/10 18:53:37,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 3213            Total Yield :  99.440%
4314292.1.txt,LOT       : 4314292.1                                START TIME : 2023/04/10 18:53:37,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 3220            Total Yield :  98.975%
4314293.1.txt,LOT       : 4314293.1                                START TIME : 2023/04/05 01:56:25,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 3561            Total Yield :  99.354%
4315204.1-1.txt,LOT       : 4315204.1                                START TIME : 2023/04/15 06:47:01,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 10135           Total Yield :  99.793%
4315204.1.txt,LOT       : 4315204.1                                START TIME : 2023/04/15 06:47:01,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 10135           Total Yield :  97.869%
4315205.1-1.txt,LOT       : 4315205.1                                START TIME : 2023/04/16 18:50:34,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 10521           Total Yield :  99.886%
4315205.1.txt,LOT       : 4315205.1                                START TIME : 2023/04/16 18:50:34,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 10521           Total Yield :  99.601%
4316286.1-1.txt,LOT       : 4316286.1                                START TIME : 2023/04/12 14:08:27,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 14381           Total Yield :  99.277%
4316286.1-2.txt,LOT       : 4316286.1                                START TIME : 2023/04/12 14:08:27,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 14382           Total Yield :  99.826%
4316286.1.txt,LOT       : 4316286.1                                START TIME : 2023/04/12 14:08:27,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 14379           Total Yield :  93.602%
4316297.1-1.txt,LOT       : 4316297.1                                START TIME : 2023/04/30 10:31:25,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 9980            Total Yield :  99.940%
