Lot,Vitrox ID,Recipe,Start Time,End Time,Yield,Total Inspected,Total Reject
4740806.1,6VTRX02,SKY77912+REV3,2024/03/21 01:47:56,2024/03/21 05:27:53,95.044%,14226,
4740806.,6VTRX02,SKY77912+REV3,2024/03/21 05:28:56,2024/03/21 06:12:40,87.801%,705,
4741141.1,6VTRX02,SKYA21055+REV6,2024/03/23 13:19:32,2024/03/23 15:32:09,99.499%,8378,
4741141.2,6VTRX02,SKYA21055+REV6,2024/03/23 15:34:24,2024/03/23 15:41:24,91.837%,98,
4741142.1,6VTRX02,SKYA21055+REV6,2024/03/21 13:03:43,2024/03/21 14:02:03,97.564%,8373,
4741142.,6VTRX02,SKYA21055+REV6,2024/03/21 14:09:39,2024/03/21 14:38:13,77.941%,204,
4741172.1,6VTRX02,SKY58253+REV5,2024/03/27 18:43:15,2024/03/27 20:04:33,94.436%,8663,
4741172.,6VTRX02,SKY58253+REV5,2024/03/27 20:10:24,2024/03/27 20:38:41,81.289%,481,
4741175.1,6VTRX02,SKY58253+REV5,2024/03/29 13:22:11,2024/03/29 15:23:41,98.052%,8725,
4741178.1,6VTRX02,SKY58253+REV5,2024/03/25 06:31:02,2024/03/25 07:45:22,96.616%,8482,
4741178.2,6VTRX02,SKY58253+REV5,2024/03/25 07:48:22,2024/03/25 08:03:20,70.319%,502,
4741722.1,6VTRX02,SKYA21055+REV6,2024/03/27 17:12:52,2024/03/27 18:05:43,75.222%,3600,
4741722.,6VTRX02,SKYA21055+REV6,2024/03/23 16:28:16,2024/03/23 16:34:58,94.203%,69,
47417221 VALI,6VTRX02,SKYA21055+REV6,2024/03/27 15:27:45,2024/03/27 15:33:18,OTAL INSPECTED : 1             Total Yield :   0.000%,1,
4741723.1,6VTRX02,SKYA21055+REV6,2024/03/23 21:08:28,2024/03/23 21:56:08,100.000%,1032,
4741724.1,6VTRX02,SKYA21055+REV6,2024/03/23 10:46:04,2024/03/23 11:31:46,99.822%,8444,
4741944.1,6VTRX02,SKY58253+REV5,2024/03/24 19:10:35,2024/03/24 20:13:06,96.215%,8612,
